,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
10,"frozenset({'Success_Rate_of_SUBURB', 'Success_Rate_of_OSD_HUB'})",frozenset({'Success_Rate_of_ISD'}),0.32907893389755316,0.7731290311572194,0.29942326724226187,0.9098828165508659,1.1768835212266617,0.045002789903795914,2.517510647354353
13,"frozenset({'Success_Rate_of_SUBURB', 'Success_Rate_of_OSD_HUB', 'is_churn'})",frozenset({'Success_Rate_of_ISD'}),0.15242466641640787,0.7731290311572194,0.13495205269085075,0.8853688570469047,1.1451760590618163,0.017108118019870985,1.9791390280005454
3,frozenset({'Success_Rate_of_SUBURB'}),frozenset({'Success_Rate_of_ISD'}),0.40690372999351604,0.7731290311572194,0.3493669590144354,0.8585985658573405,1.1105501556088127,0.03477787247028952,1.6044460243160696
9,"frozenset({'Success_Rate_of_ISD', 'Success_Rate_of_SUBURB'})",frozenset({'Success_Rate_of_OSD_HUB'}),0.3493669590144354,0.6441831894345289,0.29942326724226187,0.857045177045177,1.3304370419810252,0.07436694530130056,2.4890157828247417
5,frozenset({'Success_Rate_of_SUBURB'}),frozenset({'Success_Rate_of_OSD_HUB'}),0.40690372999351604,0.6441831894345289,0.32907893389755316,0.8087390447435736,1.2554488505878174,0.06695839131752362,1.860373488611004
6,"frozenset({'Success_Rate_of_SUBURB', 'is_churn'})",frozenset({'Success_Rate_of_ISD'}),0.213169300071665,0.7731290311572194,0.17063099341364366,0.8004482510205715,1.0353359125868817,0.0058236189767746915,1.1369029337155465
12,"frozenset({'Success_Rate_of_ISD', 'Success_Rate_of_SUBURB', 'is_churn'})",frozenset({'Success_Rate_of_OSD_HUB'}),0.17063099341364366,0.6441831894345289,0.13495205269085075,0.7908999999999999,1.2277563478399067,0.02503443513726769,1.7016585871136825
11,frozenset({'Success_Rate_of_SUBURB'}),"frozenset({'Success_Rate_of_ISD', 'Success_Rate_of_OSD_HUB'})",0.40690372999351604,0.44840118759171416,0.29942326724226187,0.7358577598859395,1.6410700512148624,0.11696715147767109,2.0882643085411
1,frozenset({'is_churn'}),frozenset({'Success_Rate_of_ISD'}),0.7063099341364365,0.7731290311572194,0.5138722997645292,0.7275450548388656,0.9410396266582775,-0.03219641531109341,0.8326916903952881
7,"frozenset({'Success_Rate_of_SUBURB', 'is_churn'})",frozenset({'Success_Rate_of_OSD_HUB'}),0.213169300071665,0.6441831894345289,0.15242466641640787,0.7150404226366766,1.1099954707982165,0.015104586806716558,1.24865713887484
4,frozenset({'Success_Rate_of_OSD_HUB'}),frozenset({'Success_Rate_of_ISD'}),0.6441831894345289,0.7731290311572194,0.44840118759171416,0.6960771329430774,0.900337595525535,-0.049635537543570696,0.7464754825450144
8,"frozenset({'Success_Rate_of_ISD', 'Success_Rate_of_OSD_HUB'})",frozenset({'Success_Rate_of_SUBURB'}),0.44840118759171416,0.40690372999351604,0.29942326724226187,0.6677575250199779,1.6410700512148624,0.11696715147767109,1.7851307845035378
0,frozenset({'Success_Rate_of_ISD'}),frozenset({'is_churn'}),0.7731290311572194,0.7063099341364365,0.5138722997645292,0.6646656367247847,0.9410396266582775,-0.03219641531109341,0.8758126157876832
14,"frozenset({'Success_Rate_of_SUBURB', 'is_churn'})","frozenset({'Success_Rate_of_ISD', 'Success_Rate_of_OSD_HUB'})",0.213169300071665,0.44840118759171416,0.13495205269085075,0.6330745217321699,1.411848450117415,0.039366685380621685,1.5032992939390735
2,frozenset({'Success_Rate_of_OSD_HUB'}),frozenset({'is_churn'}),0.6441831894345289,0.7063099341364365,0.40577756543698595,0.6299102058114586,0.8918325728797977,-0.04921542066431578,0.7935643470188313
